Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
7,7,7,demande,request
8,8,8,genre,kind
9,9,9,mois,month
10,10,10,frère,brother
11,11,11,laisser,let
12,12,12,car,because
13,13,13,mettre,to put
14,14,14,aucun,no
15,15,15,laisse,leash
16,16,16,eux,them
17,17,17,ville,city
18,18,18,chaque,each
19,19,19,parlé,speak
20,20,20,arrivé,come
21,21,21,devrait,should
22,22,22,bébé,baby
23,23,23,longtemps,long time
24,25,25,vont,will
25,26,26,pendant,while
26,27,27,revoir,meet again
27,28,28,aucune,any
28,29,29,place,square
29,30,30,parle,speak
30,31,31,compris,understood
31,32,32,savais,knew
32,33,33,étaient,were
33,34,34,attention,Warning
34,35,35,voici,here is
35,36,36,pourrais,could
36,37,37,affaire,case
37,38,38,donner,give
38,40,40,leurs,their
39,41,41,donné,given
40,42,42,train,train
41,43,43,corps,body
42,44,44,endroit,place
43,45,45,yeux,eyes
44,46,46,façon,way
48,50,50,premier,first
49,51,51,perdu,lost
50,52,52,main,hand
51,53,53,première,first
52,54,54,côté,side
53,55,55,pouvoir,power
54,56,56,vieux,old
55,57,57,sois,be
56,59,59,matin,morning
57,60,60,tellement,so much
59,62,63,venu,came
60,63,64,suite,after
61,64,65,pardon,sorry
62,65,66,venez,come
64,67,68,vers,towards
65,68,69,minutes,minutes
66,69,70,demandé,request
67,70,71,chambre,bedroom
68,72,73,belle,beautiful
69,73,74,droit,law
70,74,75,aimerais,would like to
71,75,76,aujourd'hui,today
72,76,77,mari,husband
73,77,78,cause,cause
74,78,79,enfin,finally
75,79,80,espère,hope
77,82,83,parti,left
78,83,84,nouvelle,new
79,84,85,boulot,job
80,85,86,dirait,would say
81,86,87,terre,Earth
82,87,88,compte,account
84,89,90,loin,far
85,90,91,fin,end
86,91,92,croire,believe
87,92,93,chérie,sweetheart
88,93,94,gros,large
89,94,95,plutôt,rather
90,95,96,aura,will have
91,96,97,filles,girls
92,97,98,jouer,to play
93,98,99,bureau,office
